,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
3,M01,-,327318,
3,M02,-,178049,
3,M03,-,237820,
3,M04,-,132530,
3,M05,-,178459,
3,M06,-,160941,
3,M07,-,120992,
3,M08,-,212401,
3,M09,-,160374,
3,M10,-,156121,
3,M11,-,179793,
3,M12,-,210262,
3,M13,-,208588,
3,M14,-,196729,
3,M15,-,264343,
3,M16,-,201428,
3,M17,-,205014,
3,M18,-,200308,
3,M19,-,209399,
3,M20,-,230436,
3,M21,-,214359,
3,M22,-,260352,
3,M23,-,260311,
3,M24,-,358784,
3,N01,-,548505,
3,N02,-,185317,
3,N03,-,121924,
3,N04,-,100950,
3,N05,-,121301,
3,N06,-,182950,
3,N07,-,218368,
3,N08,-,193284,
3,N09,-,179615,
3,N10,-,119413,
3,N11,-,189909,
3,N12,-,176521,
3,N13,-,143978,
3,N14,-,159879,
3,N15,-,208455,
3,N16,-,161732,
3,N17,-,151618,
3,N18,-,46316,
3,N19,-,141910,
3,N20,-,156615,
3,N21,-,139295,
3,N22,-,59441,
3,N23,-,209701,
3,N24,-,454648,
3,O01,-,233232,
3,O02,-,210265,
3,O03,-,290947,
3,O04,-,174459,
3,O05,-,172411,
3,O06,-,176475,
3,O07,-,140670,
3,O08,-,157042,
3,O09,-,130019,
3,O10,-,252070,
3,O11,-,249524,
3,O12,-,309089,
3,O13,-,244142,
3,O14,-,324345,
3,O15,-,269560,
3,O16,-,179708,
3,O17,-,260787,
3,O18,-,194419,
3,O19,-,258179,
3,O20,-,259888,
3,O21,-,188586,
3,O22,-,316228,
3,O23,-,110518,
3,O24,-,537007,
3,P01,-,300985,
3,P02,-,267581,
3,P03,-,194597,
3,P04,-,185442,
3,P05,-,224884,
3,P06,-,200811,
3,P07,-,316693,
3,P08,-,232481,
3,P09,-,311173,
3,P10,-,240041,
3,P11,-,195501,
3,P12,-,305322,
3,P13,-,185672,
3,P14,-,151782,
3,P15,-,334668,
3,P16,-,313110,
3,P17,-,316425,
3,P18,-,398707,
3,P19,-,216888,
3,P20,-,331506,
3,P21,-,413219,
3,P22,-,290398,
3,P23,-,340501,
3,P24,-,413477,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
4,A01,-,440512,
4,A02,-,196555,
4,A03,-,305021,
4,A04,-,289103,
4,A05,-,194890,
4,A06,-,235699,
4,A07,-,215873,
4,A08,-,285152,
4,A09,-,247072,
4,A10,-,310709,
4,A11,-,558433,
4,A12,-,392735,
4,A13,-,349375,
4,A14,-,373937,
4,A15,-,373312,
4,A16,-,291323,
4,A17,-,373191,
4,A18,-,372878,
4,A19,-,354688,
4,A20,-,273831,
4,A21,-,394620,
4,A22,-,332706,
4,A23,-,347890,
4,A24,-,483554,
4,B01,-,230275,
4,B02,-,163131,
4,B03,-,190042,
4,B04,-,187646,
4,B05,-,142049,
4,B06,-,138449,
4,B07,-,110829,
4,B08,-,53964,
4,B09,-,57758,
4,B10,-,46815,
4,B11,-,59572,
4,B12,-,43551,
4,B13,-,60022,
4,B14,-,51090,
4,B15,-,48772,
4,B16,-,62883,
4,B17,-,52585,
4,B18,-,50188,
4,B19,-,50440,
4,B20,-,56751,
4,B21,-,48592,
4,B22,-,48161,
4,B23,-,67499,
4,B24,-,56089,
4,C01,-,297747,
4,C02,-,165530,
4,C03,-,144803,
4,C04,-,184359,
4,C05,-,106766,
4,C06,-,136849,
4,C07,-,129270,
4,C08,-,166673,
4,C09,-,146522,
4,C10,-,214100,
4,C11,-,212052,
4,C12,-,193236,
4,C13,-,169315,
4,C14,-,250369,
4,C15,-,203170,
4,C16,-,179980,
